"","employees","salaries_2017","salaries_2018","change","got_raise"
"1","Employee 1",43779.858474154,49526.7057104502,5746.84723629616,TRUE
"2","Employee 2",45784.4725227915,50327.1023125853,4542.62978979386,TRUE
"3","Employee 3",46497.376486659,46688.1226038095,190.746117150411,TRUE
"4","Employee 4",46846.4449816383,53694.3870154209,6847.9420337826,TRUE
"5","Employee 5",49775.4841297865,54540.969778318,4765.48564853147,TRUE
"6","Employee 6",44929.6450591646,43915.8987475093,-1013.74631165527,FALSE
"7","Employee 7",46642.3142282292,44349.1058074869,-2293.2084207423,FALSE
"8","Employee 8",45694.6147256531,55449.3191395886,9754.70441393554,TRUE
"9","Employee 9",47566.1017815582,42585.7619964518,-4980.33978510648,FALSE
"10","Employee 10",40982.2909696959,42380.015864037,1397.72489434108,TRUE
"11","Employee 11",48156.5799890086,46112.5421535689,-2044.03783543967,FALSE
"12","Employee 12",41395.7796152681,40936.8028887548,-458.976726513356,FALSE
"13","Employee 13",45053.0727324076,41737.8790443763,-3315.19368803129,FALSE
"14","Employee 14",46229.0723714978,50415.9622010775,4186.88982957974,TRUE
"15","Employee 15",40473.8686233759,36375.9012706578,-4097.96735271811,FALSE
"16","Employee 16",45423.8175437786,55256.6770091653,9832.85946538672,TRUE
"17","Employee 17",48275.2667390741,43654.6350084245,-4620.63173064962,FALSE
"18","Employee 18",44668.9609065652,44876.3286240865,207.367717521265,TRUE
"19","Employee 19",44650.0131348148,47850.3535897471,3200.3404549323,TRUE
"20","Employee 20",40133.9472527616,47483.1299809739,7349.18272821233,TRUE
"21","Employee 21",42893.0579288863,44783.3651513793,1890.30722249299,TRUE
"22","Employee 22",41164.2561224289,36683.8986321818,-4480.35749024712,FALSE
"23","Employee 23",47113.3718313649,45366.768973181,-1746.60285818391,FALSE
"24","Employee 24",41422.3716291599,43850.7094513625,2428.33782220259,TRUE
"25","Employee 25",47817.134289071,52300.1107270829,4482.97643801197,TRUE
"26","Employee 26",45864.9064856581,42985.7585881837,-2879.14789747447,FALSE
"27","Employee 27",46496.4719978161,47852.0736657083,1355.60166789219,TRUE
"28","Employee 28",45610.6999632902,40867.3342422117,-4743.36572107859,FALSE
"29","Employee 29",44213.1253192201,46592.675561551,2379.55024233088,TRUE
"30","Employee 30",48582.8573605977,45986.0787377693,-2596.77862282842,FALSE
"31","Employee 31",45165.883898735,44452.3838476744,-713.500051060691,FALSE
"32","Employee 32",46010.7537684962,42277.567058336,-3733.18671016023,FALSE
"33","Employee 33",42429.7192390077,44241.6099365801,1811.89069757238,TRUE
"34","Employee 34",48599.9686247669,57749.3413409684,9149.37271620147,TRUE
"35","Employee 35",45175.0289578922,44444.5173279382,-730.51162995398,FALSE
"36","Employee 36",40031.3499080949,36111.2125730142,-3920.13733508065,FALSE
"37","Employee 37",43691.7410674505,44129.207613878,437.466546427459,TRUE
"38","Employee 38",45608.5793022066,42830.116924597,-2778.46237760969,FALSE
"39","Employee 39",43108.6683343165,48643.431966193,5534.76363187656,TRUE
"40","Employee 40",45323.5249291174,42852.8231568635,-2470.70177225396,FALSE
"41","Employee 41",41226.3862602413,49362.711556023,8136.32529578172,TRUE
"42","Employee 42",44483.9089480229,48997.0503328368,4513.14138481393,TRUE
"43","Employee 43",41060.3077011183,39029.3953253422,-2030.9123757761,FALSE
"44","Employee 44",45339.9770776741,49714.7949005011,4374.81782282703,TRUE
"45","Employee 45",46244.2946597002,42536.778334761,-3707.51632493921,FALSE
"46","Employee 46",48550.4662198946,45824.5229755994,-2725.94324429519,FALSE
"47","Employee 47",42796.2376154028,51378.2555563375,8582.01794093475,TRUE
"48","Employee 48",48620.2263645828,46942.0728902332,-1678.15347434953,FALSE
"49","Employee 49",49501.4606486075,48750.6182829384,-750.842365669087,FALSE
"50","Employee 50",49795.8586341701,45539.2216762993,-4256.6369578708,FALSE
"51","Employee 51",49328.0309345573,52116.769956192,2788.73902163468,TRUE
"52","Employee 52",42797.0098960213,45105.9524703305,2308.94257430919,TRUE
"53","Employee 53",41784.8343891092,41691.8235097546,-93.0108793545514,FALSE
"54","Employee 54",48931.1669231392,51664.564848179,2733.39792503975,TRUE
"55","Employee 55",46492.8854536265,41720.1631015632,-4772.72235206328,FALSE
"56","Employee 56",49382.744319737,44663.7525828555,-4718.99173688143,FALSE
"57","Employee 57",40802.9362466186,36376.1203666218,-4426.81587999687,FALSE
"58","Employee 58",44210.0300220773,51429.2001037393,7219.17008166201,TRUE
"59","Employee 59",41498.3402588405,37300.5682614166,-4197.77199742384,FALSE
"60","Employee 60",46920.9904735908,48612.1076100972,1691.11713650636,TRUE
"61","Employee 61",45931.1580774374,55139.1130115371,9207.95493409969,TRUE
"62","Employee 62",45259.6614300273,41816.6589003522,-3443.00252967514,FALSE
"63","Employee 63",40380.5413260125,38265.2679691091,-2115.27335690334,FALSE
"64","Employee 64",49236.6318427958,49111.3710775971,-125.260765198618,FALSE
"65","Employee 65",49564.2075315118,50073.1469679158,508.939436404034,TRUE
"66","Employee 66",48102.4434790015,49720.1968275476,1617.7533485461,TRUE
"67","Employee 67",43684.983223211,47931.6712648142,4246.68804160319,TRUE
"68","Employee 68",44877.6422161609,49044.247752754,4166.60553659312,TRUE
"69","Employee 69",44763.7925297022,52855.5352299009,8091.74270019867,TRUE
"70","Employee 70",43464.0343557112,49387.5156412832,5923.48128557205,TRUE
"71","Employee 71",42671.2693832815,47723.1304056477,5051.86102236621,TRUE
"72","Employee 72",49624.6921410784,58790.7450192142,9166.05287813582,TRUE
"73","Employee 73",43558.016018942,47655.3607510868,4097.34473214485,TRUE
"74","Employee 74",44789.3893904984,46286.6443942767,1497.25500377826,TRUE
"75","Employee 75",44684.6728539094,43948.3572170138,-736.315636895597,FALSE
"76","Employee 76",49361.8812854402,48308.6439268664,-1053.23735857382,FALSE
"77","Employee 77",42514.5706650801,42589.1140161548,74.5433510746807,TRUE
"78","Employee 78",45866.2390313111,47768.3573681861,1902.11833687499,TRUE
"79","Employee 79",43602.6124353521,44156.7240294535,554.111594101414,TRUE
"80","Employee 80",44700.6483841687,48627.2801656742,3926.63178150542,TRUE
"81","Employee 81",47656.4002525993,53221.3079428766,5564.90769027732,TRUE
"82","Employee 82",43573.176774662,38735.9509558883,-4837.22581877373,FALSE
"83","Employee 83",46220.1267061755,54378.4534535371,8158.32674736157,TRUE
"84","Employee 84",42195.9935780615,50796.9825144392,8600.98893637769,TRUE
"85","Employee 85",40245.0452838093,41440.3324679006,1195.28718409128,TRUE
"86","Employee 86",43812.99598841,42823.2618316542,-989.734156755731,FALSE
"87","Employee 87",49960.1607723162,50704.4512953144,744.290522998199,TRUE
"88","Employee 88",44455.9053238481,48691.5720987599,4235.66677491181,TRUE
"89","Employee 89",45515.3123242781,54264.3866699655,8749.0743456874,TRUE
"90","Employee 90",48258.2123298198,50340.6761353835,2082.46380556375,TRUE
"91","Employee 91",45752.1832897328,49171.7061714735,3419.5228817407,TRUE
"92","Employee 92",41767.717981711,37639.5868032705,-4128.13117844053,FALSE
"93","Employee 93",49258.1607308239,50744.4423844572,1486.28165363334,TRUE
"94","Employee 94",46622.8947998025,47244.436199544,621.541399741545,TRUE
"95","Employee 95",49292.7617789246,52736.9152288884,3444.15344996378,TRUE
"96","Employee 96",44198.0347409844,53116.0981417634,8918.06340077892,TRUE
"97","Employee 97",49213.3787530474,50088.1019607186,874.723207671195,TRUE
"98","Employee 98",43010.8305928297,49608.0946084112,6597.26401558146,TRUE
"99","Employee 99",45795.8359341137,49955.3335399833,4159.49760586955,TRUE
"100","Employee 100",43576.417802833,41048.6787720583,-2527.73903077468,FALSE
